Fingerprint,Contribution
APC2D10_O_O,0.987256372
APC2D10_C_C,0.932559826
APC2D3_C_N,0.845637584
APC2D9_C_C,0.840402588
APC2D1_C_N,0.798370672
APC2D6_N_O,0.774287801
APC2D8_C_C,0.771021021
APC2D7_C_N,0.717893218
APC2D2_C_C,0.708452722
APC2D10_N_O,0.666666667
APC2D2_N_O,0.664206642
APC2D5_C_N,0.654294032
APC2D2_C_N,0.614349776
APC2D2_C_O,0.595609065
APC2D4_C_C,0.595425304
APC2D4_C_N,0.583952452
APC2D8_N_N,0.550180505
APC2D6_C_N,0.533189033
APC2D9_C_O,0.524981897
APC2D3_C_S,0.503859649
APC2D8_C_N,0.486100676
APC2D3_O_O,0.456603774
APC2D3_C_C,0.456331878
APC2D2_C_S,0.444053483
APC2D3_N_S,0.39407086
APC2D4_C_S,0.363965268
APC2D9_N_S,0.356478168
APC2D1_C_C,0.350303951
APC2D6_C_O,0.343239227
APC2D1_C_O,0.32629279
APC2D4_C_X,0.295371051
APC2D6_C_C,0.286027798
APC2D1_C_X,0.258333333
APC2D3_C_X,0.256428571
APC2D5_C_O,0.254847645
APC2D6_N_N,0.252699784
APC2D2_C_X,0.236283833
APC2D8_C_O,0.212916962
APC2D4_C_Cl,0.210448859
APC2D9_O_F,0.20411056
APC2D8_O_Cl,0.203994294
APC2D8_O_X,0.203377386
APC2D9_C_N,0.198821797
APC2D5_C_C,0.197241379
APC2D2_C_Cl,0.189051095
APC2D9_N_Cl,0.183512545
APC2D3_C_Cl,0.179362881
APC2D2_O_O,0.176972281
APC2D1_C_Cl,0.169992609
APC2D5_O_O,0.167161961
APC2D1_N_O,0.154002714
APC2D6_C_Cl,0.150714286
APC2D7_C_C,0.149466192
APC2D7_N_O,0.14039039
APC2D5_N_O,0.137085137
APC2D4_C_O,0.136976579
APC2D6_O_Cl,0.134545455
APC2D6_O_X,0.134435658
APC2D5_C_Cl,0.13419257
APC2D4_X_X,0.132887899
APC2D7_C_O,0.129169624
APC2D4_Cl_X,0.126074499
APC2D5_C_X,0.125610607
APC2D3_O_Cl,0.124542125
APC2D4_Cl_Cl,0.123110151
APC2D2_N_S,0.113684211
APC2D6_N_F,0.111888112
APC2D3_O_F,0.109851169
APC2D8_O_O,0.107192254
APC2D5_S_F,0.106638418
APC2D10_O_F,0.105150215
APC2D5_S_X,0.104488595
APC2D4_N_N,0.104166667
APC2D5_N_S,0.100073584
APC2D9_O_Cl,0.09646539
APC2D4_O_F,0.091512915
APC2D2_N_N,0.089016511
APC2D3_C_O,0.08819242
APC2D10_N_S,0.08801214
APC2D5_N_N,0.086545455
APC2D7_C_F,0.079083518
APC2D10_C_N,0.078402367
APC2D6_C_X,0.078180526
APC2D3_N_N,0.077147016
APC2D10_O_X,0.076867295
APC2D3_N_O,0.07311828
APC2D8_C_Cl,0.06981982
APC2D2_C_F,0.068892045
APC2D3_O_X,0.066206897
APC2D8_C_F,0.06566738
APC2D7_C_X,0.06456241
APC2D6_O_S,0.064493759
APC2D5_C_F,0.064046579
APC2D6_O_O,0.063300142
APC2D5_O_S,0.062725306
APC2D7_C_Cl,0.059264816
APC2D4_C_F,0.059080963
APC2D9_O_O,0.056701031
APC2D5_N_Cl,0.053468208
APC2D7_O_X,0.053223388
APC2D1_C_F,0.052877138
APC2D9_C_F,0.052039381
APC2D6_C_F,0.051660517
APC2D3_C_F,0.05141202
APC2D4_O_O,0.051318603
APC2D10_O_Cl,0.050835149
APC2D10_C_Cl,0.050549451
APC2D4_N_O,0.049132948
APC2D3_Cl_X,0.047379756
APC2D9_N_F,0.046689895
APC2D3_X_X,0.045614035
APC2D8_N_O,0.045222465
APC2D7_O_Cl,0.04453723
APC2D9_N_X,0.043940468
APC2D8_N_F,0.043510878
APC2D3_N_X,0.040710585
APC2D5_O_Cl,0.040361865
APC2D5_O_X,0.039438503
APC2D10_C_F,0.039078856
APC2D7_N_F,0.038325053
APC2D8_C_X,0.03804738
APC2D7_O_O,0.03661163
APC2D5_N_X,0.03601108
APC2D4_O_S,0.03599712
APC2D9_C_Cl,0.035127055
APC2D8_N_X,0.033923304
APC2D7_N_X,0.031791908
APC2D8_O_S,0.031677466
APC2D3_Cl_Cl,0.03127221
APC2D4_O_Cl,0.030410184
APC2D4_N_S,0.030280091
APC2D4_O_X,0.028776978
APC2D2_F_F,0.02614841
APC2D9_C_S,0.024781341
APC2D3_N_Cl,0.02437276
APC2D6_N_Cl,0.023843931
APC2D7_O_S,0.023651146
APC2D9_O_X,0.022646851
APC2D6_C_S,0.02238806
APC2D9_N_N,0.021413276
APC2D6_N_X,0.02023988
APC2D10_C_X,0.020129403
APC2D9_C_X,0.019664967
APC2D5_C_S,0.019396552
APC2D2_X_X,0.017638037
APC2D8_N_Cl,0.017037037
APC2D2_F_X,0.016224189
APC2D10_C_O,0.015658363
APC2D10_N_N,0.014820042
APC2D10_N_X,0.012527634
APC2D1_C_Br,0.012363636
APC2D9_N_Br,0.011721612
APC2D9_O_S,0.011594203
APC2D3_N_Br,0.011428571
APC2D4_O_Br,0.011219147
APC2D3_C_Br,0.011061947
APC2D10_C_S,0.01026694
APC2D7_O_Br,0.010043042
APC2D2_C_Br,0.009292352
APC2D7_C_Br,0.009034051
APC2D9_N_O,0.008830022
APC2D9_C_Br,0.00867679
APC2D10_N_Br,0.008052709
APC2D10_C_Br,0.008035062
APC2D7_C_S,0.007947977
APC2D4_C_Br,0.007902299
APC2D5_C_Br,0.007158196
APC2D6_C_Br,0.00658858
APC2D8_C_Br,0.005637773
APC2D8_C_S,0.005629838
APC2D5_N_Br,0.00554785
APC2D1_C_S,0.004338395
APC2D7_N_N,0.002228826
APC2D1_C_P,0
APC2D1_C_I,0
APC2D1_C_B,0
APC2D1_C_Si,0
APC2D1_N_N,0
APC2D1_N_S,0
APC2D1_N_P,0
APC2D1_N_F,0
APC2D1_N_Cl,0
APC2D1_N_Br,0
APC2D1_N_I,0
APC2D1_N_B,0
APC2D1_N_Si,0
APC2D1_N_X,0
APC2D1_O_O,0
APC2D1_O_S,0
APC2D1_O_P,0
APC2D1_O_F,0
APC2D1_O_Cl,0
APC2D1_O_Br,0
APC2D1_O_I,0
APC2D1_O_B,0
APC2D1_O_Si,0
APC2D1_O_X,0
APC2D1_S_S,0
APC2D1_S_P,0
APC2D1_S_F,0
APC2D1_S_Cl,0
APC2D1_S_Br,0
APC2D1_S_I,0
APC2D1_S_B,0
APC2D1_S_Si,0
APC2D1_S_X,0
APC2D1_P_P,0
APC2D1_P_F,0
APC2D1_P_Cl,0
APC2D1_P_Br,0
APC2D1_P_I,0
APC2D1_P_B,0
APC2D1_P_Si,0
APC2D1_P_X,0
APC2D1_F_F,0
APC2D1_F_Cl,0
APC2D1_F_Br,0
APC2D1_F_I,0
APC2D1_F_B,0
APC2D1_F_Si,0
APC2D1_F_X,0
APC2D1_Cl_Cl,0
APC2D1_Cl_Br,0
APC2D1_Cl_I,0
APC2D1_Cl_B,0
APC2D1_Cl_Si,0
APC2D1_Cl_X,0
APC2D1_Br_Br,0
APC2D1_Br_I,0
APC2D1_Br_B,0
APC2D1_Br_Si,0
APC2D1_Br_X,0
APC2D1_I_I,0
APC2D1_I_B,0
APC2D1_I_Si,0
APC2D1_I_X,0
APC2D1_B_B,0
APC2D1_B_Si,0
APC2D1_B_X,0
APC2D1_Si_Si,0
APC2D1_Si_X,0
APC2D1_X_X,0
APC2D2_C_P,0
APC2D2_C_I,0
APC2D2_C_B,0
APC2D2_C_Si,0
APC2D2_N_P,0
APC2D2_N_F,0
APC2D2_N_Cl,0
APC2D2_N_Br,0
APC2D2_N_I,0
APC2D2_N_B,0
APC2D2_N_Si,0
APC2D2_N_X,0
APC2D2_O_S,0
APC2D2_O_P,0
APC2D2_O_F,0
APC2D2_O_Cl,0
APC2D2_O_Br,0
APC2D2_O_I,0
APC2D2_O_B,0
APC2D2_O_Si,0
APC2D2_O_X,0
APC2D2_S_S,0
APC2D2_S_P,0
APC2D2_S_F,0
APC2D2_S_Cl,0
APC2D2_S_Br,0
APC2D2_S_I,0
APC2D2_S_B,0
APC2D2_S_Si,0
APC2D2_S_X,0
APC2D2_P_P,0
APC2D2_P_F,0
